slug,titleAr,titleEn,descriptionAr,descriptionEn,basePrice,compareAtPrice,currencyCode,status,allowOversell,seoTitle,seoDescription,categorySlugs,defaultCategorySlug,tagSlugs,option1NameAr,option1NameEn,option1ValueAr,option1ValueEn,option2NameAr,option2NameEn,option2ValueAr,option2ValueEn,sku,variantPrice,variantCompareAtPrice,stockQty,weightGrams,barcode,attr_brand,attr_warranty_years,attr_supports_bluetooth,attr_storage_capacity,attr_material
sooq-smartphone-note-9,هاتف SOOQ نوت ٩,SOOQ Smartphone Note 9,هاتف ذكي بشاشة 6.7 بوصة وكاميرا ثلاثية 108 ميجابكسل وبطارية 5000 مللي أمبير,"Smartphone with a 6.7 inch display, triple 108MP camera and 5000mAh battery",520,610,USD,ACTIVE,false,SOOQ Smartphone Note 9,Flagship-grade smartphone with a huge battery,smartphones,smartphones,new-arrival|featured|best-seller,اللون,Color,أسود,Black,السعة,Capacity,٢٥٦ جيجابايت,256GB,SOOQ-N9-BLK-256,520,610,12,205,6291041500213,SOOQ,2,true,256gb|512gb,
sooq-smartphone-note-9,هاتف SOOQ نوت ٩,SOOQ Smartphone Note 9,هاتف ذكي بشاشة 6.7 بوصة وكاميرا ثلاثية 108 ميجابكسل وبطارية 5000 مللي أمبير,"Smartphone with a 6.7 inch display, triple 108MP camera and 5000mAh battery",520,610,USD,ACTIVE,false,SOOQ Smartphone Note 9,Flagship-grade smartphone with a huge battery,smartphones,smartphones,new-arrival|featured|best-seller,اللون,Color,أسود,Black,السعة,Capacity,٥١٢ جيجابايت,512GB,SOOQ-N9-BLK-512,590,680,8,205,6291041500220,SOOQ,2,true,256gb|512gb,
sooq-smartphone-note-9,هاتف SOOQ نوت ٩,SOOQ Smartphone Note 9,هاتف ذكي بشاشة 6.7 بوصة وكاميرا ثلاثية 108 ميجابكسل وبطارية 5000 مللي أمبير,"Smartphone with a 6.7 inch display, triple 108MP camera and 5000mAh battery",520,610,USD,ACTIVE,false,SOOQ Smartphone Note 9,Flagship-grade smartphone with a huge battery,smartphones,smartphones,new-arrival|featured|best-seller,اللون,Color,أزرق,Blue,السعة,Capacity,٢٥٦ جيجابايت,256GB,SOOQ-N9-BLU-256,520,610,9,205,6291041500237,SOOQ,2,true,256gb|512gb,
sooq-smartphone-note-9,هاتف SOOQ نوت ٩,SOOQ Smartphone Note 9,هاتف ذكي بشاشة 6.7 بوصة وكاميرا ثلاثية 108 ميجابكسل وبطارية 5000 مللي أمبير,"Smartphone with a 6.7 inch display, triple 108MP camera and 5000mAh battery",520,610,USD,ACTIVE,false,SOOQ Smartphone Note 9,Flagship-grade smartphone with a huge battery,smartphones,smartphones,new-arrival|featured|best-seller,اللون,Color,أزرق,Blue,السعة,Capacity,٥١٢ جيجابايت,512GB,SOOQ-N9-BLU-512,590,680,4,205,6291041500244,SOOQ,2,true,256gb|512gb,
sooq-smartphone-air,هاتف SOOQ إير,SOOQ Smartphone Air,هاتف نحيف بوزن خفيف وشاشة 6.1 بوصة,Ultra-thin lightweight phone with a 6.1 inch display,265,310,USD,DRAFT,false,SOOQ Smartphone Air,Slim everyday smartphone,smartphones,smartphones,new-arrival,,,,,,,,,SOOQ-AIR-128,265,310,20,168,,SOOQ,1,true,128gb,
ultrabook-air-13,حاسوب ألترابوك إير 13,Ultrabook Air 13,حاسوب محمول خفيف بشاشة 13 بوصة وبطارية تدوم طويلاً,Lightweight 13 inch ultrabook with all-day battery,1050,1250,USD,ACTIVE,false,Ultrabook Air 13,Thin and light laptop for daily work,laptops,laptops,featured|free-shipping,الذاكرة,RAM,٨ جيجابايت,8GB,,,,,UB13-RAM8,1050,1250,7,1150,,SOOQ Pro,2,true,,
ultrabook-air-13,حاسوب ألترابوك إير 13,Ultrabook Air 13,حاسوب محمول خفيف بشاشة 13 بوصة وبطارية تدوم طويلاً,Lightweight 13 inch ultrabook with all-day battery,1050,1250,USD,ACTIVE,false,Ultrabook Air 13,Thin and light laptop for daily work,laptops,laptops,featured|free-shipping,الذاكرة,RAM,١٦ جيجابايت,16GB,,,,,UB13-RAM16,1180,1390,5,1150,,SOOQ Pro,2,true,,
gaming-laptop-17,حاسوب الألعاب 17,Gaming Laptop 17,حاسوب محمول للألعاب بكرت رسوميات منفصل وشاشة 144 هرتز,Gaming laptop with discrete GPU and a 144Hz display,1750,1990,USD,ACTIVE,false,Gaming Laptop 17,High-performance gaming laptop,laptops,laptops,best-seller|limited,,,,,,,,,GL17-BASE,1750,1990,6,2600,,SOOQ Pro,2,true,,
noise-cancel-earbuds,سماعات أذن بإلغاء الضوضاء,Noise Cancelling Earbuds,سماعات أذن لاسلكية مع إلغاء نشط للضوضاء وعلبة شحن,Wireless earbuds with active noise cancellation and a charging case,70,95,USD,ACTIVE,false,Noise Cancelling Earbuds,Compact earbuds with active noise cancellation,headphones,headphones,new-arrival|on-sale|free-shipping,اللون,Color,أسود,Black,,,,,NCE-BLK,70,95,32,55,6291041500251,SOOQ Audio,1,true,,
noise-cancel-earbuds,سماعات أذن بإلغاء الضوضاء,Noise Cancelling Earbuds,سماعات أذن لاسلكية مع إلغاء نشط للضوضاء وعلبة شحن,Wireless earbuds with active noise cancellation and a charging case,70,95,USD,ACTIVE,false,Noise Cancelling Earbuds,Compact earbuds with active noise cancellation,headphones,headphones,new-arrival|on-sale|free-shipping,اللون,Color,أبيض,White,,,,,NCE-WHT,70,95,21,55,6291041500268,SOOQ Audio,1,true,,
gaming-headset-7-1,سماعة رأس للألعاب 7.1,Gaming Headset 7.1,سماعة رأس سلكية بصوت محيطي وميكروفون قابل للفصل,Wired headset with surround sound and a detachable microphone,48,65,USD,ACTIVE,false,Gaming Headset 7.1,Surround-sound headset for gaming,headphones,headphones,best-seller,,,,,,,,,GH71-BLK,48,65,14,320,,SOOQ Audio,1,false,,
slim-fit-denim-jeans,بنطال جينز ضيّق,Slim Fit Denim Jeans,بنطال جينز بقصة ضيقة وقماش مرن مريح,Slim fit jeans in comfortable stretch denim,32,45,USD,ACTIVE,false,Slim Fit Denim Jeans,Everyday slim fit denim jeans,mens-clothing,mens-clothing,best-seller|on-sale,المقاس,Size,٣٠,30,,,,,JEANS-SLIM-30,32,45,18,620,,SOOQ Basics,,,,cotton|polyester
slim-fit-denim-jeans,بنطال جينز ضيّق,Slim Fit Denim Jeans,بنطال جينز بقصة ضيقة وقماش مرن مريح,Slim fit jeans in comfortable stretch denim,32,45,USD,ACTIVE,false,Slim Fit Denim Jeans,Everyday slim fit denim jeans,mens-clothing,mens-clothing,best-seller|on-sale,المقاس,Size,٣٢,32,,,,,JEANS-SLIM-32,32,45,22,640,,SOOQ Basics,,,,cotton|polyester
slim-fit-denim-jeans,بنطال جينز ضيّق,Slim Fit Denim Jeans,بنطال جينز بقصة ضيقة وقماش مرن مريح,Slim fit jeans in comfortable stretch denim,32,45,USD,ACTIVE,false,Slim Fit Denim Jeans,Everyday slim fit denim jeans,mens-clothing,mens-clothing,best-seller|on-sale,المقاس,Size,٣٤,34,,,,,JEANS-SLIM-34,34,47,12,660,,SOOQ Basics,,,,cotton|polyester
wool-winter-coat,معطف شتوي صوف,Wool Winter Coat,معطف شتوي من الصوف بطبقة داخلية دافئة,Wool winter coat with a warm inner lining,120,165,USD,ACTIVE,false,Wool Winter Coat,Warm wool coat for winter,mens-clothing,mens-clothing,limited|featured,,,,,,,,,COAT-WOOL-BLK,120,165,9,1400,,SOOQ Basics,,,,wool
elegant-evening-blouse,بلوزة سهرة أنيقة,Elegant Evening Blouse,بلوزة سهرة بقماش حريري وتفاصيل مطرزة,Evening blouse in silky fabric with embroidered details,38,52,USD,ACTIVE,false,Elegant Evening Blouse,Elegant blouse for evening occasions,womens-clothing,womens-clothing,new-arrival|featured,المقاس,Size,صغير,S,,,,,BLOUSE-EVE-S,38,52,16,180,,SOOQ Femme,,,,
elegant-evening-blouse,بلوزة سهرة أنيقة,Elegant Evening Blouse,بلوزة سهرة بقماش حريري وتفاصيل مطرزة,Evening blouse in silky fabric with embroidered details,38,52,USD,ACTIVE,false,Elegant Evening Blouse,Elegant blouse for evening occasions,womens-clothing,womens-clothing,new-arrival|featured,المقاس,Size,متوسط,M,,,,,BLOUSE-EVE-M,38,52,24,190,,SOOQ Femme,,,,
elegant-evening-blouse,بلوزة سهرة أنيقة,Elegant Evening Blouse,بلوزة سهرة بقماش حريري وتفاصيل مطرزة,Evening blouse in silky fabric with embroidered details,38,52,USD,ACTIVE,false,Elegant Evening Blouse,Elegant blouse for evening occasions,womens-clothing,womens-clothing,new-arrival|featured,المقاس,Size,كبير,L,,,,,BLOUSE-EVE-L,38,52,15,200,,SOOQ Femme,,,,
cotton-summer-skirt,تنورة صيفية قطنية,Cotton Summer Skirt,تنورة قطنية خفيفة مناسبة للأجواء الحارة,Light cotton skirt suited for hot weather,26,34,USD,ACTIVE,false,Cotton Summer Skirt,Breathable cotton summer skirt,womens-clothing,womens-clothing,on-sale|new-arrival,,,,,,,,,SKIRT-COT-M,26,34,28,240,,SOOQ Femme,,,,
leather-formal-shoes,حذاء جلدي رسمي,Leather Formal Shoes,حذاء رسمي من الجلد الطبيعي بنعل مريح,Formal shoes in genuine leather with a comfortable sole,95,130,USD,ACTIVE,false,Leather Formal Shoes,Genuine leather formal shoes,footwear,footwear,featured|gift-idea,المقاس,Size,٤١,41,,,,,SHOE-FRM-41,95,130,8,880,,SOOQ Formal,,,,
leather-formal-shoes,حذاء جلدي رسمي,Leather Formal Shoes,حذاء رسمي من الجلد الطبيعي بنعل مريح,Formal shoes in genuine leather with a comfortable sole,95,130,USD,ACTIVE,false,Leather Formal Shoes,Genuine leather formal shoes,footwear,footwear,featured|gift-idea,المقاس,Size,٤٢,42,,,,,SHOE-FRM-42,95,130,11,900,,SOOQ Formal,,,,
leather-formal-shoes,حذاء جلدي رسمي,Leather Formal Shoes,حذاء رسمي من الجلد الطبيعي بنعل مريح,Formal shoes in genuine leather with a comfortable sole,95,130,USD,ACTIVE,false,Leather Formal Shoes,Genuine leather formal shoes,footwear,footwear,featured|gift-idea,المقاس,Size,٤٣,43,,,,,SHOE-FRM-43,95,130,6,920,,SOOQ Formal,,,,
canvas-casual-sneakers,حذاء كانفاس كاجوال,Canvas Casual Sneakers,حذاء كانفاس خفيف للاستخدام اليومي,Lightweight canvas sneakers for everyday wear,40,55,USD,ACTIVE,false,Canvas Casual Sneakers,Casual canvas sneakers,footwear,footwear,on-sale|best-seller,,,,,,,,,SNKR-CNV-42,40,55,26,700,,SOOQ Sport,,,,
non-stick-frying-pan-set,طقم مقالي غير لاصقة,Non-Stick Frying Pan Set,طقم من ثلاث مقالي بطبقة غير لاصقة ومقابض معزولة,Three-piece non-stick pan set with insulated handles,650000,820000,SYP,ACTIVE,false,Non-Stick Frying Pan Set,Complete non-stick pan set for the kitchen,kitchen-tools,kitchen-tools,gift-idea|free-shipping,,,,,,,,,PAN-SET-3,650000,820000,15,2400,,SOOQ Home,3,,,
electric-coffee-grinder,مطحنة قهوة كهربائية,Electric Coffee Grinder,مطحنة قهوة كهربائية بشفرات ستانلس ستيل ودرجات طحن متعددة,Electric coffee grinder with stainless steel blades and multiple grind settings,420000,499000,SYP,ACTIVE,true,Electric Coffee Grinder,Adjustable electric coffee grinder,kitchen-tools,kitchen-tools,best-seller|new-arrival,,,,,,,,,GRINDER-EL,420000,499000,19,1100,,SOOQ Home,2,false,,
woven-jute-area-rug,سجادة جوت منسوجة يدوياً,Handwoven Jute Area Rug,سجادة من الجوت الطبيعي منسوجة يدوياً بمقاس 160×230 سم,Natural jute rug handwoven in a 160x230 cm size,88,115,USD,ACTIVE,false,Handwoven Jute Area Rug,Handwoven natural jute area rug,home-decor,home-decor,handmade|limited|gift-idea,,,,,,,,,RUG-JUTE-160,88,115,7,8500,,SOOQ Craft,,,,
brass-table-lamp,مصباح طاولة نحاسي,Brass Table Lamp,مصباح طاولة بقاعدة نحاسية وغطاء قماشي,Table lamp with a brass base and fabric shade,64,85,USD,ACTIVE,false,Brass Table Lamp,Warm brass table lamp,home-decor,home-decor,featured|gift-idea,اللون,Color,ذهبي,Gold,,,,,LAMP-BRS-GLD,64,85,12,1600,,SOOQ Craft,1,,,
brass-table-lamp,مصباح طاولة نحاسي,Brass Table Lamp,مصباح طاولة بقاعدة نحاسية وغطاء قماشي,Table lamp with a brass base and fabric shade,64,85,USD,ACTIVE,false,Brass Table Lamp,Warm brass table lamp,home-decor,home-decor,featured|gift-idea,اللون,Color,أسود,Black,,,,,LAMP-BRS-BLK,64,85,9,1600,,SOOQ Craft,1,,,
